Site,Horizon,Longitude,Latitude,Depth_upper,Depth_lower,Ca,Mg,Fe,Mn,P,Zn,S,As,Cu,Pb,Ba,Be,Ce,Co,Cr,Ga,Gd,Ge,Hf,La,Mo,Nd,Sc,Sr,Th,V,Y
616-01-011,A-horizon,115.8356,-31.7224,0,50,924,82,320,7,21,3.19,100,0.02,1.32,1.61,6.75,0.01,1.45,0.22,0.83,0.31,0.08,0.06,0.01,0.75,0.11,0.57,0.04,5.48,0.49,0.59,1.14
616-01-011,E-horizon,115.8356,-31.7224,230,250,32,4,198,5,3,0.16,12,NA,0.56,NA,1.33,0.004,0.87,0.14,0.37,0.22,0.05,0.01,0.01,0.56,0.1,0.37,0.01,0.2,0.29,0.42,1.83
616-01-011,E-horizon,115.8356,-31.7224,520,540,22,4,300,9,2,0.15,11,NA,0.27,NA,1.39,0.007,1.3,0.26,0.65,0.22,0.07,0.03,0.02,0.66,0.06,0.51,0.04,0.22,0.39,0.82,2.89
616-01-011,E-horizon,115.8356,-31.7224,640,660,47,25,560,24,7,0.28,76,NA,0.19,1.64,8.39,0.016,5.07,0.34,1.83,1.13,0.23,0.03,0.02,2.7,0.1,1.94,0.11,1.31,1.75,1.69,0.09
616-01-014,A-horizon,115.8781,-31.7408,0,50,361,18,307,3,6,0.95,25,NA,1.05,NA,2.12,0.003,0.87,0.21,0.97,0.18,0.05,0.04,0.03,0.52,0.16,0.35,0.03,1.42,0.32,0.45,1.88
616-01-014,E-horizon,115.8781,-31.7408,250,270,43,5,161,3,2,0.23,9,NA,0.5,NA,1.39,0.002,0.7,0.13,0.34,0.1,0.03,NA,0.05,0.31,0.08,0.26,NA,0.39,0.24,0.55,2.98
616-01-014,E-horizon,115.8781,-31.7408,600,NA,41,12,1222,3,7,0.31,8,0.26,0.2,NA,1.3,0.012,1.54,0.15,3.87,1.19,0.07,0.01,0.01,0.65,0.16,0.38,0.07,0.49,0.8,2.55,1.28
616-01-014,coffee-rock,115.8781,-31.7408,700,NA,48,22,1859,2,9,0.43,21,NA,0.3,0.1,1.26,0.017,1.6,0.19,4.64,1.45,0.08,0.07,0.02,0.87,0.16,0.44,0.08,0.54,0.86,3.7,0.92
616-01-014,E-horizon,115.8781,-31.7408,800,NA,41,14,1536,4,7,0.6,9,NA,0.22,0.04,1.27,0.015,1.66,0.2,4.21,1.55,0.09,0.05,0.07,0.83,0.11,0.43,0.1,0.51,0.88,3.18,1.7
616-01-014,E-horizon,115.8781,-31.7408,900,NA,107,15,1853,2,10,0.56,12,NA,0.15,0.02,1.57,0.02,1.71,0.16,3.28,1.5,0.1,0.07,NA,0.95,0.17,0.47,0.07,0.69,0.83,3.72,1.74
616-01-014,C-horizon,115.8781,-31.7408,1000,NA,30,10,408,7,7,4.95,4,NA,0.31,1.13,2.97,0.01,1.57,0.24,2.85,1.02,0.07,0.05,0.08,0.96,0.08,0.54,0.05,0.56,1.2,1.52,1.75
616-01-014,C-horizon,115.8781,-31.7408,1250,1270,24,14,364,10,6,0.34,16,NA,0.24,5.11,8.19,0.017,3.17,0.38,7.18,2.28,0.1,0.12,0.08,2.06,0.31,1,0.17,1.08,3.01,1.77,NA
616-01-018,A-horizon,115.9446,-31.8134,0,25,363,11,143,2,4,1.01,17,NA,0.4,NA,2.36,0.003,1,0.24,0.66,0.17,0.05,0.03,NA,0.59,0.01,0.35,NA,1.36,0.39,0.56,2.81
616-01-018,E-horizon,115.9446,-31.8134,180,200,75,4,50,1,4,2.57,128,NA,0.49,NA,0.7,0.003,0.89,0.07,0.7,0.56,0.04,0.02,0.05,0.51,0.19,0.33,NA,0.26,0.45,0.84,2.22
616-01-018,E-horizon,115.9446,-31.8134,280,300,44,3,48,1,3,0.68,98,NA,0.35,0.34,0.7,NA,0.83,0.09,0.51,0.32,0.05,0.01,NA,0.59,NA,0.31,0.01,0.2,0.33,0.47,1.86
616-01-018,E-horizon,115.9446,-31.8134,380,400,23,3,43,1,3,0.74,37,0.16,0.41,0.02,0.65,NA,0.79,0.07,0.32,0.21,0.04,0.02,0.03,0.38,0.11,0.31,NA,0.19,0.23,0.97,2.53
616-01-018,coffee-rock,115.9446,-31.8134,420,440,21,13,233,2,15,1.16,297,0.21,2.15,1.36,1.06,0.028,2.51,0.25,5.57,2.28,0.18,0.07,0.04,1.38,0.12,0.99,0.37,0.38,1.13,2.77,0.73
616-01-018,E-horizon,115.9446,-31.8134,520,540,16,9,158,4,5,0.24,79,0.25,0.34,0.02,1.02,0.008,1.12,0.2,1,0.66,0.05,0.06,0.03,0.58,0.23,0.43,0.07,0.25,0.41,0.98,1.56
616-01-018,coffee-rock,115.9446,-31.8134,600,625,59,7,576,7,6,2.96,62,NA,3.03,0.1,0.85,0.005,1.36,1.13,3.01,0.49,0.08,0.02,0.02,0.9,0.29,0.54,0.06,0.41,0.6,0.66,1.88
616-01-018,coffee-rock,115.9446,-31.8134,700,725,41,25,727,4,21,2.22,323,NA,2.38,1.66,1.77,0.042,3.19,0.58,6.66,3.4,0.29,0.11,0.16,2.02,0.31,1.41,0.4,0.59,2.95,6.55,1.14
616-01-019,A-horizon,115.8735,-31.9386,25,50,43,34,106,3,8,1.07,19,NA,0.14,0.44,3,0.002,1.68,0.02,0.42,0.06,0.08,0.07,0.03,0.86,0.19,0.62,0.05,0.92,0.47,0.98,2.51
616-01-019,E-horizon,115.8735,-31.9386,125,150,15,5,162,6,5,0.67,9,NA,0.17,0.46,2.03,0.002,1.82,0.04,0.4,0.27,0.08,0.03,0.03,1.07,0.25,0.68,0.03,0.27,0.51,1.61,4.96
616-01-019,E-horizon,115.8735,-31.9386,225,250,25,8,1635,12,6,0.94,15,NA,1.64,0.35,1.75,0.001,2.26,0.15,9.16,0.13,0.11,0.02,NA,1.32,2.09,0.84,0.03,0.32,0.78,1.47,2.67
616-01-019,B-horizon,115.8735,-31.9386,275,300,31,57,605,6,37,0.54,737,0.51,0.76,6.63,10.42,0.069,8.45,0.23,10.82,5.53,0.57,0.12,0.19,4.93,0.42,3.28,0.92,1.61,4.14,2.64,1.77
616-01-023,A-horizon,115.815,-31.9237,0,25,406,25,188,5,5,0.46,15,0.04,0.14,0.66,2.9,0.004,1.38,0.09,0.29,0.14,0.08,0.03,0.01,0.97,0.03,0.5,0.05,3.17,0.46,1,2.93
616-01-023,E-horizon,115.815,-31.9237,25,50,16,5,187,7,4,0.14,5,NA,0.12,0.68,2.53,0.001,1.56,0.04,0.27,0.24,0.07,0.03,0.03,0.95,0.02,0.6,0.05,0.25,0.48,1.16,4.79
616-01-023,B-horizon,115.815,-31.9237,150,175,14,30,437,8,6,0.32,28,0.15,0.18,0.99,2.97,0.024,1.81,0.2,4.68,2.37,0.11,0.03,0.03,1.15,0.58,0.66,0.19,0.93,0.86,2.29,1.54
616-01-023,E-horizon,115.815,-31.9237,250,275,37,33,451,9,8,0.03,41,0.01,0.18,5.47,3.44,0.023,1.9,0.21,7.36,2.25,0.12,0.04,0.04,1.15,0.1,0.7,0.22,0.67,1.13,2,1.72
616-01-023,E-horizon,115.815,-31.9237,550,NA,16,10,223,5,3,NA,44,0.04,0.18,0.91,2.32,0.005,1.26,0.12,2.66,0.49,0.06,0.04,0.03,0.61,0.02,0.47,0.07,0.3,0.61,0.94,2.25
616-01-023,E-horizon,115.815,-31.9237,825,NA,23,20,300,6,4,NA,48,NA,0.27,2.33,6.6,0.009,1.67,0.13,4.52,0.52,0.08,0.03,0.04,1.13,0.07,0.6,0.13,0.59,0.82,1.3,2.01
616-01-024,A-horizon,115.8009,-31.9098,0,25,337,57,116,3,8,4.61,42,0.09,0.11,0.27,2.71,0.003,0.96,0.07,0.23,0.13,0.06,0.05,0.01,0.68,0.1,0.37,0.06,2.13,0.43,0.31,2.21
616-01-024,E-horizon,115.8009,-31.9098,100,125,25,9,153,6,4,0.58,9,NA,0.13,0.3,1.01,0.002,0.7,0.03,0.31,0.2,0.03,0.04,0.03,0.24,0.28,0.26,0.04,0.25,0.18,1.1,4.01
616-01-024,B-horizon,115.8009,-31.9098,150,175,21,12,198,3,4,NA,79,NA,0.18,0.62,1.28,0.009,1.2,0.07,2.53,1.12,0.08,0.03,NA,0.77,0.29,0.48,0.09,0.4,0.47,1.27,2.16
616-01-024,E-horizon,115.8009,-31.9098,350,375,20,4,156,6,4,0.56,7,0.03,0.12,1.11,1.44,0.001,1.58,0.06,0.54,0.1,0.07,0.02,0.02,0.95,0.08,0.62,0.06,0.2,0.47,0.91,4.85
616-01-024,B-horizon,115.8009,-31.9098,450,475,164,65,434,6,20,0.63,264,0.39,0.4,3.63,7.1,0.077,8.02,0.21,10.38,3.05,0.56,0.08,0.12,4.26,0.08,3.48,0.87,1.48,2.17,5.52,2.89
616-01-024,E-horizon,115.8009,-31.9098,550,575,22,14,173,4,3,0.73,16,0.12,0.17,1.02,3.61,0.012,1.11,0.09,3.27,0.21,0.06,0.02,0.02,0.72,0.05,0.47,0.08,0.33,0.48,0.82,2.22
616-02-028,B-horizon,115.9373,-32.2779,25,50,132,271,13994,33,21,NA,452,0.29,1.31,2.4,11.61,0.041,3.76,1.36,9.13,4.71,NA,NA,NA,1.92,0.84,1.3,0.85,1.97,3.47,12.72,0.47
616-02-028,B-horizon,115.9373,-32.2779,125,150,1819,1510,32526,368,79,8.91,28940,6.91,9.95,12.08,16.91,0.597,37.12,36.99,26.34,14.87,0.58,NA,0.05,15.35,7.64,12.59,5.81,16.51,10.97,50.65,9.73
616-02-031,A-horizon,115.9593,-32.0909,0,20,878,140,315,5,14,0.45,108,NA,0.32,0.95,4.7,0.007,1.25,0.12,0.36,0.22,0.06,0.04,0.05,0.74,0.11,0.47,0.05,7.32,0.38,0.48,1.45
616-02-031,E-horizon,115.9593,-32.0909,150,170,10,3,142,4,1,0.01,5,NA,0.06,NA,0.66,0.006,1.27,0.11,0.38,0.19,0.05,0.04,0.05,0.69,0.09,0.49,0.05,0.14,0.43,0.62,0.85
616-02-031,coffee-rock,115.9593,-32.0909,200,300,83,366,2693,11,40,NA,1052,1.15,0.49,9.6,8.46,0.182,9.83,0.8,17.69,7.87,0.72,0.2,0.26,5.28,0.63,3.96,0.65,5.24,440,10.45,1.9
616-02-031,coffee-rock,115.9593,-32.0909,200,300,57,279,1949,7,32,NA,1064,0.75,0.07,7.89,6.86,0.141,7.61,0.6,14.98,7.03,0.53,0.2,0.19,4.1,0.34,3.02,0.5,4.09,3.63,9.08,1.22
616-02-031,E-horizon,115.9593,-32.0909,380,400,12,20,734,9,2,NA,446,0.27,0.11,1.3,6.75,0.01,1.74,0.31,1.02,0.69,0.06,NA,0.07,1,0.05,0.62,0.03,0.84,0.78,1.11,1.51
616-02-031,coffee-rock,115.9593,-32.0909,430,450,99,225,1044,7,95,NA,644,NA,0.15,6.87,16.45,0.065,7.04,0.48,10.82,3.55,0.32,0.12,0.1,4.91,0.15,2.42,0.27,5.54,2.51,4.53,2.33
616-02-031,coffee-rock,115.9593,-32.0909,530,550,106,213,651,10,85,0.1,390,NA,0.15,2.83,12.3,0.053,5.52,0.36,8.67,2.07,0.3,0.08,0.09,3.15,0.1,2.02,0.29,3.44,2.28,3.42,1.88
616-02-032,A-horizon,115.9125,-32.0921,0,20,8155,137,315,12,14,0.27,128,NA,0.61,NA,1.89,0.009,0.9,0.24,7.61,0.27,0.06,0.06,0.03,1.09,0.11,0.37,0.01,28.75,0.52,0.72,1.58
616-02-032,E-horizon,115.9125,-32.0921,150,160,44,19,275,11,2,0.77,83,0.07,0.51,0.09,0.67,0.006,2.14,0.26,12.32,0.35,0.09,0.02,0.02,1.31,0.2,0.9,0.04,0.33,0.59,0.86,2.45
616-02-032,coffee-rock,115.9125,-32.0921,160,NA,64,134,467,24,10,0.81,805,0.16,0.18,5.77,3.63,0.023,10.35,0.44,4.95,3.76,0.45,0.06,0.1,6.59,0.18,3.84,0.26,3.57,3.53,3.84,0.41
616-02-032,coffee-rock,115.9125,-32.0921,220,240,47,35,602,12,17,0.02,706,NA,0.91,13.55,3.71,0.031,6.57,0.4,58.37,4.13,0.39,0.15,0.14,4.07,0.53,2.39,0.44,1.23,3.84,5.25,1.7
616-02-032,E-horizon,115.9125,-32.0921,320,340,54,80,757,36,9,0.81,252,NA,0.29,8.2,5.17,0.025,12.73,0.57,5.91,1.59,0.46,0.05,0.04,7.1,0.29,4.7,0.19,2.2,4.46,3.82,0.37
616-02-032,E-horizon,115.9125,-32.0921,380,400,27,97,777,38,8,0.46,340,NA,0.25,6.37,4.95,0.031,11.01,0.55,6.29,1.19,0.43,0.08,0.04,6.25,0.12,3.9,0.19,1.87,4.14,3.18,0.62
616-02-058,B-horizon,115.9515,-32.1436,400,500,242,423,540,12,7,NA,2352,0.08,0.96,5.69,7.03,0.023,3.39,0.29,26.45,0.74,0.2,0.18,0.11,2.31,0.34,1.21,0.23,4.22,0.77,3.48,0.55
616-02-065,B-horizon,115.8817,-32.1673,200,NA,755,615,1135,13,67,4.34,321,0.67,1.04,5.14,26.86,0.116,6.98,0.95,13.28,5.09,0.38,NA,NA,3.99,0.34,2.74,0.64,9.94,1.08,5.15,1.67
616-02-065,B-horizon,115.8817,-32.1673,0,20,1335,1133,2441,15,258,1.84,444,2.29,3.17,7.83,47.43,0.408,22.65,2.61,25.88,7.82,1.58,NA,0.06,12.15,0.35,9.5,2.14,23.08,3.2,13.7,6.55
616-02-065,coffee-rock,115.8817,-32.1673,480,560,365,547,824,7,35,1.57,1076,0.42,0.17,6.08,9.63,0.037,2.87,0.41,9.21,3.17,0.17,0.01,0.06,1.67,0.18,1.15,0.63,5,2.06,4.61,0.64
616-02-065,coffee-rock,115.8817,-32.1673,650,700,87,115,304,5,4,1.91,221,0.01,0.25,1.76,2.32,0.005,1.47,0.04,2.58,0.93,0.1,NA,0.02,0.9,0.12,0.59,0.16,1.19,0.67,1.25,0.19
616-02-068,A-horizon,115.8354,-32.0818,50,NA,101,19,216,4,7,0.23,12,NA,0.2,NA,3.67,0.003,2.17,0.09,0.32,0.17,0.1,0.01,0.02,1.21,0.14,0.81,0.01,1.43,0.63,1.67,0.05
616-02-068,E-horizon,115.8354,-32.0818,140,150,9,5,118,4,4,0.24,1,NA,0.21,NA,1.42,0.002,2,0.12,0.23,0.1,0.09,0.03,0.01,1.05,0.15,0.77,NA,0.25,0.58,1.5,NA
616-02-068,E-horizon,115.8354,-32.0818,340,350,39,51,663,16,8,0.14,188,NA,0.21,1.94,3.63,0.018,5.15,0.26,4.93,0.79,0.24,0.06,0.01,2.76,0.22,1.91,0.05,0.49,1.88,1.93,NA
616-02-068,E-horizon,115.8354,-32.0818,540,550,49,9,681,13,5,0.11,360,NA,0.07,0.26,2.73,0.015,4.41,0.29,2.54,0.56,0.22,0.04,0.03,2.29,0.08,1.66,0.07,0.43,1.69,2.43,NA
616-02-068,A-horizon,115.8354,-32.0818,0,25,147,21,118,2,6,2.3,14,NA,0.14,0.71,7.49,NA,1.56,0.01,0.56,0.25,0.1,NA,0.01,0.89,0.03,0.58,0.02,1.85,0.43,0.01,0.15
616-02-068,E-horizon,115.8354,-32.0818,25,200,21,6,190,4,2,2.5,3,0.13,0.07,0.22,1.9,NA,1.77,NA,0.89,0.1,0.11,NA,NA,1,0.11,0.71,0.02,0.16,0.43,0.24,0.14
616-02-068,coffee-rock,115.8354,-32.0818,200,300,224,162,615,11,14,2.07,285,0.2,0.3,4.21,4.53,0.012,3.89,0.13,11.73,2.53,0.19,NA,0.01,2.29,0.59,1.39,0.1,1.15,0.92,1.64,0.25
616-02-068,B-horizon,115.8354,-32.0818,300,400,47,61,610,14,5,2.26,182,NA,0.1,1.78,5,NA,3.28,0.01,4.77,0.79,0.13,NA,0.02,1.92,0.06,1.29,0.08,0.44,1.29,0.93,0.24
616-02-068,B-horizon,115.8354,-32.0818,450,NA,64,58,669,19,4,2.04,188,NA,0.18,1.92,6.46,NA,2.75,0.03,7.96,1,0.12,NA,0.01,1.62,0.11,1.07,0.09,0.86,1.04,1.02,0.27
616-02-068,B-horizon,115.8354,-32.0818,500,600,82,18,743,19,4,1.95,243,NA,0.13,1.6,5.06,NA,4.91,NA,5.08,0.79,0.22,NA,NA,2.79,0.03,1.9,0.13,0.55,1.75,1.25,0.46
616-02-071,E-horizon,115.8347,-32.1319,350,370,18,11,145,3,3,0.17,21,NA,0.09,NA,0.82,0.002,1.09,0.06,0.32,0.11,0.07,0.01,0.02,0.62,0.14,0.42,NA,0.23,0.32,1.3,NA
616-02-071,B-horizon,115.8347,-32.1319,550,570,87,83,624,10,5,0.31,498,NA,0.31,1.33,3.69,0.024,4.19,0.3,2.81,0.82,0.22,0.03,0.04,2.38,0.13,1.47,0.22,1.28,1.36,1.94,0.11
616-02-078,B-horizon,115.8768,-32.177,450,NA,50,14,385,4,5,1.55,189,NA,0.17,0.51,2.16,NA,0.39,0.06,4.06,0.2,NA,0.01,0.01,0.23,0.11,0.15,0.03,0.44,0.1,0.33,0.1
616-02-080,coffee-rock,115.9056,-32.1982,350,400,342,603,720,6,12,0.04,885,NA,0.18,4.63,8.92,0.057,3.03,0.9,5.68,5,0.18,0.08,0.08,1.97,0.26,1.11,0.28,5.54,1.26,4.5,0.02
616-02-081,B-horizon,115.8855,-32.1984,500,NA,144,32,1003,15,3,2.06,548,NA,0.1,1.21,4.73,NA,2.18,0.11,1.92,0.41,0.09,NA,0.01,1.29,0.1,0.9,0.09,0.9,0.61,1.72,0.4
616-02-082,A-horizon,115.8419,-32.2117,25,75,NA,4,221,8,7,0.36,10,NA,0.3,NA,2.94,0.008,3.75,0.15,0.66,0.4,0.14,0.03,0.04,2.05,0.04,1.39,0.01,0.29,1.19,1.11,NA
616-02-082,E-horizon,115.8419,-32.2117,125,175,NA,6,272,12,5,0.13,18,0.05,0.24,1.04,3.66,0.01,4.21,0.18,1.63,0.37,0.16,0.01,NA,2.27,0.03,1.54,0.04,0.42,1.12,1.69,NA
616-02-082,E-horizon,115.8419,-32.2117,225,275,17,15,2147,15,8,1.87,1586,NA,0.36,0.58,5.72,0.031,4.02,0.35,4.17,0.65,0.22,0.07,0.02,2.45,0.21,1.47,0.09,0.63,1.73,2.86,NA
616-02-082,E-horizon,115.8419,-32.2117,325,375,46,27,1433,14,8,0.17,958,1.08,0.18,1.67,5.05,0.029,7.29,0.36,4.2,0.73,0.35,0.05,0.04,4.07,0.14,2.68,0.12,0.88,2.62,2.71,0.06
616-02-082,E-horizon,115.8419,-32.2117,425,475,67,33,2332,32,11,0.68,1385,2.4,0.11,2.29,6.98,0.04,7.56,0.56,7.22,1.08,0.41,0.1,0.02,4.17,0.16,2.82,0.22,1.34,3.85,4.11,NA
616-02-082,coffee-rock,115.8419,-32.2117,525,575,128,39,3500,21,17,0.57,2482,6.36,0.24,4.11,5.26,0.08,5.6,0.9,14.33,1.71,0.4,0.1,0.11,3.65,0.12,2.15,0.44,1.5,2.86,4.74,1.19
616-02-085,A-horizon,115.9562,-32.0422,0,25,4157,1879,43557,961,1094,43.22,241,19.7,53.51,90.24,194.28,2.553,120.71,35.41,46.41,19.99,4.99,NA,NA,54.34,5.39,37.19,10.11,26.25,15.46,92.19,38.03
616-02-085,B-horizon,115.9562,-32.0422,125,150,433,270,2923,30,13,NA,73,0.28,2.74,4.94,20.26,0.108,12.73,1.55,13.7,5.8,0.52,NA,0.02,7.02,1.14,4.5,2.99,4.23,7.36,9.83,1.57
616-02-085,E-horizon,115.9562,-32.0422,350,400,237,120,2279,39,14,NA,984,0.21,0.61,1.41,8.1,0.136,6.39,3.05,4.37,0.9,0.3,NA,0.02,3.16,0.96,2.2,0.4,2.49,1.41,3.62,1.79
616-02-085,B-horizon,115.9562,-32.0422,450,475,19702,2840,35378,694,109,5.47,30601,5.5,14.13,16.17,46.55,1.31,64.68,19.21,3490,17.15,2.03,NA,0.08,28.95,6.61,20.87,6.88,178.73,13.75,75.63,19.64
616-02-087,coffee-rock,115.8625,-32.2326,200,300,221,128,2128,16,53,NA,579,1.64,2.77,3.45,5.28,0.113,13.81,0.4,35.13,5.28,1.63,0.25,0.34,6.76,2.69,6.25,2.47,2.17,7.53,8.62,4.44
616-02-087,coffee-rock,115.8625,-32.2326,300,400,536,348,538,8,37,NA,964,1.14,0.18,2.28,10.07,0.2,11.99,0.41,23.81,8.69,1.18,0.28,0.27,6.17,0.58,5.48,1.85,5.9,6.72,9.12,3.16
616-02-087,B-horizon,115.8625,-32.2326,500,600,19,21,339,3,5,NA,171,0.07,0.24,0.65,2.93,0.009,1.89,0.16,3.3,0.29,0.1,0.05,0.01,1.15,0.25,0.7,0.09,0.39,0.69,1.77,0.17
616-02-094,B-horizon,115.9432,-32.0336,50,75,345,546,37195,71,50,NA,4256,3.19,11.2,35.7,77.34,0.293,33.28,3.53,30.48,17.33,NA,NA,NA,11.36,8.48,10.37,6.87,13.2,13.56,63.3,5.47
616-02-094,B-horizon,115.9432,-32.0336,150,175,225,582,14223,37,13,NA,1782,NA,2.08,27.67,22.3,0.193,14.9,3.06,16.65,7.26,NA,NA,0.02,6.49,1.12,4.86,2.21,8.11,6.92,19.27,2.39
616-02-094,E-horizon,115.9432,-32.0336,400,425,127,409,3250,38,7,NA,194,NA,1.4,12.74,8.19,0.282,26.12,4.96,17.17,5.32,1.35,NA,0.05,9.54,0.41,8.37,1.9,1.94,9.7,11.72,3.68
616-02-099,E-horizon,115.9023,-32.1966,25,50,260,61,530,8,35,NA,49,0.21,0.34,1.74,1.84,0.005,1,0.18,1.83,0.56,0.05,NA,NA,0.51,0.27,0.37,0.04,1.6,0.24,1.02,0.14
616-02-099,B-horizon,115.9023,-32.1966,250,275,325,32,481,8,6,NA,165,0.2,0.51,0.97,4.61,0.005,1.17,0.19,2.02,0.49,0.04,NA,NA,0.69,3.7,0.42,0.16,1.31,0.72,1.85,0.14
616-02-099,E-horizon,115.9023,-32.1966,350,375,382,103,3417,23,7,NA,2424,3.99,1.12,1.73,3.73,0.021,3.06,0.88,2.91,1.29,0.01,NA,NA,1.51,6.43,1.19,0.33,1.7,1.02,3.18,0.49
616-02-100,E-horizon,115.8762,-32.0202,25,50,10380,407,7677,26,55,26.98,133,0.37,6.9,99.2,11.11,0.023,7.16,0.75,8.9,4.07,NA,NA,NA,3.79,0.4,2.35,0.42,42.18,1.84,22.18,1.08
616-02-100,Peaty,115.8762,-32.0202,80,100,2968,1212,2699,16,66,NA,1102,1.68,1.39,5.5,27.76,0.194,28.47,0.56,9.69,1.49,1.67,NA,0.02,14.15,1.93,8.97,2.27,19.9,2.59,14.62,6.82
616-02-100,B-horizon,115.8762,-32.0202,175,200,167,135,3674,39,67,NA,1610,1.33,0.37,5.98,8.81,0.032,19.62,0.6,10.12,2.73,0.9,NA,0.02,10.2,5.87,7.34,0.77,1.87,6.2,10.39,3.38
616-02-100,E-horizon,115.8762,-32.0202,425,450,19,16,92,1,4,NA,36,0.07,0.05,0.51,1.89,0.005,1.22,0.12,1.97,0.37,0.1,NA,0.01,0.87,0.09,0.49,0.06,0.41,0.51,0.14,1.17
616-02-101,A-horizon,115.7933,-31.9059,50,75,1662,205,2906,13,34,2.84,61,0.94,1.82,6.09,10.63,0.033,3.93,0.47,6.4,1.65,0.03,NA,0.01,1.73,0.17,1.16,0.36,4.26,1.23,5.96,0.55
